id_Wikidata,Prénom,Nom,Nom_complet,nb,Répartition
http://www.wikidata.org/entity/Q57445884,Jean-Baptiste,Camps,Jean-Baptiste Camps,1,Louise
http://www.wikidata.org/entity/Q20851391,Jacques,Meurgey de Tupigny,Jacques Meurgey de Tupigny,2,Louise
http://www.wikidata.org/entity/Q2850174,Anita,Guerreau-Jalabert,Anita Guerreau-Jalabert,3,Louise
http://www.wikidata.org/entity/Q2871430,Auguste,Vallet de Viriville,Auguste Vallet de Viriville,4,Louise
http://www.wikidata.org/entity/Q743493,Siméon,Luce,Siméon Luce,5,Louise
http://www.wikidata.org/entity/Q3301297,Maurice,Prou,Maurice Prou,6,Louise
http://www.wikidata.org/entity/Q16222795,Georges,Tessier,Georges Tessier,7,Louise
http://www.wikidata.org/entity/Q28772035,Patrick,Arabeyre,Patrick Arabeyre,8,Louise
http://www.wikidata.org/entity/Q3439046,Roger,Grand,Roger Grand,9,Louise
http://www.wikidata.org/entity/Q3386153,Pierre,Marot,Pierre Marot,10,Louise
http://www.wikidata.org/entity/Q3367657,Pascale,Bourgain,Pascale Bourgain,11,Louise
http://www.wikidata.org/entity/Q28543803,François,Ploton-Nicollet,François Ploton-Nicollet,12,Camille C
http://www.wikidata.org/entity/Q1338383,Emmanuel,Poulle,Emmanuel Poulle,13,Camille C
http://www.wikidata.org/entity/Q3288405,Marc,Smith,Marc Smith,14,Camille C
http://www.wikidata.org/entity/Q2497623,Michel,Pastoureau,Michel Pastoureau,15,Camille C
http://www.wikidata.org/entity/Q26954685,Élie,Berger,Élie Berger,16,Camille C
http://www.wikidata.org/entity/Q3351082,Olivier,Guyotjeannin,Olivier Guyotjeannin,17,Camille C
http://www.wikidata.org/entity/Q1245518,Paul,Meyer,Paul Meyer,18,Camille C
http://www.wikidata.org/entity/Q3263525,Louis,Mas Latrie (de),Louis de Mas Latrie,19,Camille C
http://www.wikidata.org/entity/Q28559779,Katia,Weidenfeld,Katia Weidenfeld,20,Camille C
http://www.wikidata.org/entity/Q2865116,Arthur,Giry,Arthur Giry,21,Camille C
http://www.wikidata.org/entity/Q2156245,Robert-Henri,Bautier,Robert-Henri Bautier,22,Camille C
http://www.wikidata.org/entity/Q36322618,Pierre,Duparc,Pierre Duparc,23,Lucie
http://www.wikidata.org/entity/Q2408040,Jules,Quicherat,Jules Quicherat,24,Lucie
http://www.wikidata.org/entity/Q3571703,Yann,Sordet,Yann Sordet,25,Lucie
http://www.wikidata.org/entity/Q2965963,Christine,Nougaret,Christine Nougaret,26,Lucie
http://www.wikidata.org/entity/Q2897484,Bernard,Barbiche,Bernard Barbiche,27,Lucie
http://www.wikidata.org/entity/Q2941994,Catherine,Massip,Catherine Massip,28,Lucie
http://www.wikidata.org/entity/Q2926789,Bruno,Galland,Bruno Galland,29,Lucie
http://www.wikidata.org/entity/Q19606616,Françoise,Banat-Berger,Françoise Banat-Berger,30,Lucie
http://www.wikidata.org/entity/Q3121174,Gustave,Dupont,Gustave Dupont-Ferrier,31,Lucie
http://www.wikidata.org/entity/Q286485,Léon,Gautier,Léon Gautier,32,Lucie
http://www.wikidata.org/entity/Q16679905,Thierry,Crépin-Leblond,Thierry Crépin-Leblond,33,Camille B
http://www.wikidata.org/entity/Q2825183,Adrien,Goetz,Adrien Goetz,34,Camille B
http://www.wikidata.org/entity/Q922350,Henri,Martin,Henri-Jean Martin,35,Camille B
http://www.wikidata.org/entity/Q28777003,Frédéric,Duval,Frédéric Duval,36,Camille B
http://www.wikidata.org/entity/Q2871321,Auguste,Molinier,Auguste Molinier,37,Camille B
http://www.wikidata.org/entity/Q28548090,Christophe,Gauthier,Christophe Gauthier,38,Camille B
http://www.wikidata.org/entity/Q3287827,Marc,Bompaire,Marc Bompaire,39,Camille B
http://www.wikidata.org/entity/Q3351290,Olivier,Poncet,Olivier Poncet,40,Camille B
http://www.wikidata.org/entity/Q2926731,Bruno,Delmas,Bruno Delmas,41,Camille B
http://www.wikidata.org/entity/Q2959858,Charles,Mortet,Charles Mortet,42,Camille B
